שאלה,תשובה,לא תשובה,לא תשובה
מה דורש בן פטורא על הברייתא?,מוטב שיחלקו במים וימותו ושלא יצפה אחד במות חברו,"מוטב שישפכו את המים כי אין להם טעם. (תרתי משמע)",מוטב שאחד ישתה את המים וחברו יראה אותו וישמח בשבילו
מה היא ברייתא?,משנה חיצונה,משתנה קיצונה,אנטנה חוצנית
במה עסק רבי עקיבא בצעירותו?,היה רועה צאן,מלווה בריבית,מתאגרף
מהו קיתון?,"כד/ כלי",קית' כשהיה קטן,קוץ מדברי
מה מקבלים כיום? את הדרישה של בן פטורא או של רבי עקיבא?,רבי עקיבא,בן פטורא,לא מקבלים את שניהם
מי מהבאים היה תנאי?,רבי עקיבא,פרדי מרקורי,רמבם
מה קורה אם שני המהלכים שותים מן מהמים?,מתים שניהם,שותים לרוויה ומגיעים לכפר הקרוב,אמנם שניהם שתו חלקים שווים אבל אחד מת כי הוא חלש יותר
מי היו התנאים?,חכמי ישראל יוצרי המשנה,פוסקים במשפטים קדומים,קוטפי תאנים במקצועם
מה פוסק רבי עקיבא?,חייך חשובים מחיי חברך,חיי חברך חשובים מחייך,חייך וחיי חברך שווים
מה מקור המילה ברייתא?,ארמית,ערבית,לטינית
מה היא עמדתו של קרניאדס?,להשמיט חברו מעל הקרש,לוותר על הקרש,לשחות לחוף
מה היחס בין צדיק לחברו בדילמה?,חברו חלש ממנו,הוא חלש מחברו,הם בריב אוהבים
מה עומד במרכז התפיסה הסטואית?,אהבת אדם,הרצון לחירות,אורך חיים קומוניסטי
מה הווי אומר? (בסיפורינו),שאכן צדיק האיש אבל סכל,nice throw!,match point
האם יש עדים למעשה בדילמה?,אין,יש,לא מצויין
מה התשובה של הקטון על השאלה שהוא מוסיף: ומה יעשו שניים שאנייתם טבעה והם נאחזים בקרש אחד ושניהם חכמים?,זה שלחייו פחות ערך צריך להקריב את עצמו,על שניהם לריב על הקרש מכות עד מוות,הטלת מטבע
עד מתי הסטואה התקיימה?,המאה ה3 לספירה,לידת ישו,המאה ה7 לספירה
על ידי מי הסטואה נוסדה?,זנון מקיטון,פרדי מרקורי,מייקל קיטון
מה היא אסכולה?,שיטה מסויימת של הוראה או פילוספיה אשר רבים מזדהים או מושפעים ממנה,אשכול ענבים,מקום לימוד של חז""ל
מה עמדתו של הקטון?,להשאיר את הקרש בידו של חברו,להשמיט חברו מעל הקרש,למצוא אי בודד ולקחת רק את הסרט ספיידרמן 2 עם טובי מגוויר
רש״י זהו קיצור של...?,רבי שלמה יצחקי,רבי שמעון יוחנן,רבי שמעון בר יוחאי
רבא היה?,מחשובי האמוראים בבל,סופרו של המשנה,חבר של רשי 
מהי כוונת הביטוי דם אדום יותר?,אדם שחשיבותו גדולה מאדם אחר,אדם שלא אוכל מספיק ירקות,אדם שרצונו להרוג כל אדם שנעלה ממנו
מי אמר ״יהרגוך ולא תהרוג״?,רבא,רש״י,רמבם
מהי שפיכת דמים?,רצח,התאבדות,להיות עד למקרה רצח
מהי טענת רבא?,להרצח ולא לרצוח,לרצוח ולא להרצח,זה תלוי בחשיבותו של האדם
מהו פירוש השם אמורא?,מתרגם/מפרש,עוזר לזולת,חכם/צדיק
האם על פי רשי מותר לעבור על המצוות בשביל להנצל ממוות?,לא,כן,לא נתון
מאיפה נלקח הקטע?,תלמוד הבבלי,המשנה,רש״י כתב אותו בסיפרו
מהי התלמוד הבבלית?,חלק מהתלמוד הנכתב בבל,כמו התלמוד הכתובה בבלית,התורה שנכתבה בבבל
